name,org,country,date,category,scale,view,modalities,access,data_link,license,downloads
EgoObjects,Meta,US,2023-06-01,detection,9.2K+ videos,mono,RGB+bbox,open,https://github.com/facebookresearch/EgoObjects,-,
Ego-1K,Meta,US,2026-01-29,3D/scene,~1K multiview takes,multi,neural 3D/4D,gated,https://huggingface.co/datasets/facebook/ego-1k,-,52679
EgoProactive / Pro2Bench,Meta,US,2026-05-15,procedural,700 recordings,mono (Aria),proactive assistance,gated,https://huggingface.co/datasets/facebook/wearable-ai,-,2894
HA-Ego (ego500),Human Archive,-,2026-08-07,manipulation/HOI,500+ clips,multi/head+wrist,RGB/hand,gated,https://huggingface.co/datasets/humanarchive/ego500,-,26
Egocentric-10K,Build AI,US,2025-11-09,general,10000h / 1.08B frames,mono (factory),RGB/actions,gated,https://huggingface.co/datasets/builddotai/Egocentric-10K,-,69927
PRISM-100K,DreamVu,-,2026-03-22,3D/scene,270K samples,mono/retail,RGB/pose,gated,https://huggingface.co/datasets/DreamVu/PRISM-100K,-,310
SABER-10K,DreamVu,-,2026-04-02,manipulation/HOI,100h / 44.8k samples,mono/retail,RGB/pose,gated,https://huggingface.co/datasets/DreamVu/SABER-10K,-,20
EgoExo-Fitness,iSEE Lab,-,2025-02-11,action,32h / 1276 seq,ego+exo,RGB/pose,gated,https://huggingface.co/datasets/Lymann/EgoExo-Fitness,-,247
EgoCross,-,-,2025-10-16,VQA,798 clips / 957 QA,mono,RGB/QA,gated,https://huggingface.co/datasets/myuniverse/EgoCross,-,32
Ropedia Xperience-10M,Ropedia,-,2026-03-11,world-model,10M experiences,multi,6 RGB/depth/pose/mocap,gated,https://huggingface.co/datasets/ropedia-ai/xperience-10m,-,96685
EgoFun3D,SFU,-,2026-03-31,3D/scene,271 videos,mono,RGB/3D,open,https://huggingface.co/datasets/3dlg-hcvc/EgoFun3D,-,185
EgoTouch,-,-,2026-05-24,manipulation/HOI,1891 episodes,mono,tactile HOI,open,https://huggingface.co/datasets/zhenyuxie-zhzh/EgoTouch_hdf5,-,6710
EgoSPT,-,-,2026-05-14,manipulation/HOI,11515 episodes,mono,RGB/action,open,https://huggingface.co/datasets/JackYFL233/EgoSPT,-,36
EgoMonth,-,-,2026-05-03,memory/long-form,301h / 1443 QA,mono,long-term memory,open,https://huggingface.co/datasets/anonymous-egomonth/egomonth-dataset,-,261
EgoMemReason,-,-,2026-05-11,memory/long-form,500 MCQ,mono,week-long memory,open,https://huggingface.co/datasets/Ted412/EgoMemReason,-,118
SuperMemory-VQA,OSU,US,2026-04-24,memory/long-form,52.9h / 4853 QA,mono,Aria memory QA,open,https://huggingface.co/datasets/OSU-AIoT-MLSys-Lab/SuperMemory-VQA,-,3378
Causal-Plan-1M,THUSI-Lab,CN,2026-05-04,VQA,1M QA / 22.2k clips,mono,planning QA,open,https://huggingface.co/datasets/anonymous-causal-plan/Causal_Plan,-,747
EgoServe,-,-,2026-06-27,procedural,3k+ instances,mono,proactive assistance,open,https://huggingface.co/datasets/SitongGong/EgoServe,-,181
EgoCoT-Bench,-,-,2026-06-02,VQA,351 videos / 3172 QA,mono,chain-of-thought QA,open,https://huggingface.co/datasets/DStardust/EgoCoT-Bench,-,89
Ego2Web,-,-,2026-03-22,VQA,500 pairs,mono,web agent,open,https://huggingface.co/datasets/Shoubin/Ego2Web,-,56
GameplayQA,HATS-ICT,-,2026-03-24,VQA,~2.4k QA,synthetic,POV gameplay QA,open,https://huggingface.co/datasets/wangyz1999/GameplayQA,-,1000
Ego-METAS,-,-,2026-05-02,action,100h / 5 modalities,mono,action segmentation,open,https://huggingface.co/datasets/Ego-METAS/Ego-METAS,-,506
EgoTactile,-,-,2026-01-25,manipulation/HOI,768 clips,mono,tactile/grasp pressure,open,https://huggingface.co/datasets/HustleHard/EgoTactile,-,719
epic-contact,-,-,2026-06-27,manipulation/HOI,2.3k clips / 62.3k frames,mono,3D hand-object contact,open,https://huggingface.co/datasets/Sid2697/epic-contact,-,6035
sg-ego,-,-,2026-06-29,3D/scene,3.8M graphs,mono,scene graphs,open,https://huggingface.co/datasets/francescapistilli/sg-ego,-,173
hrdexdb,-,-,2026-04-03,manipulation/HOI,1.4k grasping trials,mono,dexterous grasp/tactile,open,https://huggingface.co/datasets/hahahataeyun/hrdexdb,-,104
interpet4d,-,-,2026-06-27,general,6.8M frames,multi,human-pet interaction,open,https://huggingface.co/datasets/ohicarip/interpet4d,-,2025
OVO-S-Bench,-,-,2026-08-15,VQA,348 videos / 1680 QA,mono,streaming spatial QA,open,https://huggingface.co/datasets/kfkas/ovo-s-bench-ego4d-benchmark,-,27
Ego4D,Meta AI,US,2022-06-01,general,3670h / 923 people,mono (some multi),RGB/audio/gaze/3D,request,https://ego4d-data.org,DUA,
Ego-Exo4D,Meta AI,US,2024-06-01,general,1286h,multi + exo,RGB/audio/gaze/pointcloud,request,https://ego-exo4d-data.org,DUA,
EPIC-KITCHENS-100,Univ. Bristol,UK,2021-01-01,action,100h / 90k segments,mono,RGB/audio/segments,open,https://epic-kitchens.github.io/,-
HD-EPIC,Univ. Bristol,UK,2025-02-06,VQA,41h,mono (Aria),RGB/audio/gaze/depth/VQA,open,https://hd-epic.github.io/,CC-BY-NC,
Charades-Ego,AI2 / CMU,US,2018-04-25,action,paired ego/exo,mono,RGB/actions,open,https://prior.allenai.org/projects/charades-ego,-,
Assembly101,cvml-nus,-,2026-05-13,procedural,513h multi-view,multi,procedural assembly,open,https://huggingface.co/datasets/cvml-nus/assembly101,-,69350
HOI4D,Tsinghua et al,CN,2022-06-01,manipulation/HOI,2.4M frames / 4k seq,mono RGB-D,RGB-D/hand/3D object,open,https://hoi4d.github.io/,-,
EgoDex,Apple,US,2025-05-16,manipulation/HOI,829h / 194 tasks,mono (Vision Pro),RGB+3D hand/body,open,https://github.com/apple/ml-egodex,CC-BY-NC-ND,
Open X-Embodiment,Google DeepMind + 21,US,2023-10-13,robot (non-human),1M+ trajectories (incl human),mixed,RGB/actions/proprio,open,https://robotics-transformer-x.github.io,-,
SANPO,Google,US,2023-09-22,stereo,701 clips,stereo,stereo RGB/depth/seg,open,https://google-research-datasets.github.io/sanpo_dataset/,-,
EgoMimic,Georgia Tech + Stanford,US,2024-10-30,manipulation/HOI,hours,head(Aria)+wrist,RGB/hand pose/actions,open,https://egomimic.github.io/,-,
UMI,Stanford et al,US,2024-02-06,manipulation/HOI,demo-scale,wrist mono,RGB/gripper/IMU,open,https://umi-gripper.github.io/,-,
DexUMI,Stanford/Columbia/NVIDIA,US,2025-05-27,manipulation/HOI,demo-scale,wrist mono+tactile,RGB/tactile/hand,open,https://dex-umi.github.io/,-,
Open-TeleVision,UCSD/MIT,US,2024-07-01,manipulation/HOI,demo,VR stereo,stereo VR/actions,open,https://robot-tv.github.io/,-,
FoldPlanet-500 (折叠星球),上海星际硅途 StellarNex,CN,2025-10-14,manipulation/HOI,500+ h clothes folding,multi-view,video/VQA/CoT/mocap(bvh 31-joint),open,https://huggingface.co/datasets/stellarnexrobotics/FoldPlanet-500,-,72
EgoSteer-RealWorld,EgoSteer,-,2026-09-15,manipulation/HOI,10M-100M,bimanual,LeRobot/depth,open,https://huggingface.co/datasets/EgoSteer/EgoSteer-RealWorld,Apache-2.0,5218
wuji_ego_mint,wuji,-,2026-08-16,manipulation/HOI,100M-1B,mono,camera traj/MANO/hand presence,open,https://huggingface.co/datasets/ZZJAsher/wuji_ego_mint,MIT,10864
Egocentric-100K,Build AI,US,2025-12-04,general,100K,mono,RGB,gated,https://huggingface.co/datasets/builddotai/Egocentric-100K,Apache-2.0,132555
EgoHTR,ETH legged robotics,CH,2026-02-23,3D/scene,55 seq / 150K+ frames,multi,4D human-terrain,gated,https://huggingface.co/datasets/leggedrobotics/egohtr,CC-BY-NC-4.0,2396
EgoDex-LeRobot-v3.0,griffinlabs,-,2026-04-15,manipulation/HOI,829 h (EgoDex conv),mono (Vision Pro),LeRobot,open,https://huggingface.co/datasets/griffinlabs/EgoDex-LeRobot-v3.0,CC-BY-NC-ND-4.0,28339
EgoExo-Synthetic,-,-,2026-05-11,general,1K-10K,ego+exo,video translation,open,https://huggingface.co/datasets/QuanjianSong/EgoExo-Synthetic,CC-BY-NC-4.0,604
EgoBrain-Mini,ut-vision,-,2026-08-09,general,-,mono,-,gated,https://huggingface.co/datasets/ut-vision/EgoBrain-Mini,CC-BY-NC-4.0,290
EgoPAT3Dv2,ai4ce,-,2023-10-06,manipulation/HOI,1M+ RGB-D frames,mono RGB-D,3D action target,open,https://huggingface.co/datasets/ai4ce/EgoPAT3Dv2,-,1519
EgoThink,-,-,2023-12-06,VQA,12 dimensions,mono,QA,open,https://huggingface.co/datasets/EgoThink/EgoThink,Apache-2.0,261
